,index,Unnamed: 0,filename,caption,caption_old,caption_new
0,0,0,amazonfurniture_page1_0.png,zinus josh traditional upholstered sofa living room couch beige weave,"Zinus Josh Traditional Upholstered 77.5 Inch Sofa/Living Room Couch, Beige Weave",traditional upholstered sofa living room couch beige weave
1,1,1,amazonfurniture_page1_1.png,zinus ricardo contemporary upholstered sofa living room couch chestnut brown,"Zinus Ricardo Contemporary Upholstered 78.4 Inch Sofa / Living Room Couch, Chestnut Brown",upholstered sofa living room couch chestnut brown
2,2,2,amazonfurniture_page1_2.png,honbay convertible sectional sofa couch l shaped couch with modern linen fabric for small space dark grey,"HONBAY Convertible Sectional Sofa Couch, L-Shaped Couch with Modern Linen Fabric for Small Space Dark Grey",honbay convertible sectional sofa couch l shaped couch with modern linen fabric for small space dark grey
3,3,3,amazonfurniture_page1_3.png,flash furniture benchcraft maier sectional with right side facing chaise charcoal microfiber,Flash Furniture Benchcraft Maier Sectional with Right Side Facing Chaise in Charcoal Microfiber,maier sectional with right side facing chaise charcoal microfiber
4,4,4,amazonfurniture_page1_4.png,serta rta palisades collection  sofa riverfront brown,"Serta RTA Palisades Collection 78"" Sofa in Riverfront Brown",palisades collection sofa riverfront brown
5,5,5,amazonfurniture_page1_5.png,ashley furniture signature design  larkinhurst sofa  contemporary style couch  earth,Ashley Furniture Signature Design - Larkinhurst Sofa - Contemporary Style Couch - Earth,ashley furniture signature design  larkinhurst sofa  contemporary style couch  earth
6,6,6,amazonfurniture_page1_6.png,homelegance resonance  bonded leather double reclining sofa brown,"Homelegance Resonance 83"" Bonded Leather Double Reclining Sofa, Brown",leather double reclining sofa brown
7,7,7,amazonfurniture_page1_7.png,best choice products modern faux leather futon sofa bed fold up and down recliner couch with cup holders  black,Best Choice Products Modern Faux Leather Futon Sofa Bed Fold Up & Down Recliner Couch with Cup Holders - Black,faux leather futon sofa bed fold up and down recliner couch with cup holders black
8,8,8,amazonfurniture_page1_8.png,stone and beam carrigan modern sofa couch with slipcover  natural,"Stone & Beam Carrigan Modern Sofa Couch with Slipcover, 88.5""W, Natural",modern sofa couch with slipcover natural
9,9,9,amazonfurniture_page1_9.png,rivet revolve modern upholstered sofa with tapered legs  denim,"Rivet Revolve Modern Upholstered Sofa with Tapered Legs, 79.9""W, Denim",upholstered sofa with tapered legs denim
10,10,10,amazonfurniture_page1_10.png,rivet aiden tufted mid century modern velvet bench loveseat sofa  otter grey,"Rivet Aiden Tufted Mid-Century Modern Velvet Bench Loveseat Sofa, 74""W, Otter Grey",tufted mid century modern velvet bench loveseat sofa otter grey
11,11,11,amazonfurniture_page1_11.png,stone and beam bradbury chesterfield tufted loveseat sofa couch  navy,"Stone & Beam Bradbury Chesterfield Tufted Loveseat Sofa Couch, 78.7""W, Navy",chesterfield tufted loveseat sofa couch navy
12,12,12,amazonfurniture_page1_12.png,ravenna home darian oversized pillow sofa  charcoal,"Ravenna Home Darian Oversized Pillow Sofa, 92""W, Charcoal",ravenna home darian oversized pillow sofa  charcoal
13,13,13,amazonfurniture_page1_13.png,serta rane collection convertible sofa x  navy blue,"Serta Rane Collection Convertible Sofa, L66.1 x W33.1 x H29.5, Navy Blue",sofa x navy blue
14,14,14,amazonfurniture_page1_14.png,lifestyle solutions kd rolled arm collection grayson micro fabric sofa  black,"Lifestyle Solutions KD Rolled-Arm Collection Grayson Micro-Fabric Sofa, 80.3""x32""x32.68"", Black",lifestyle solutions kd rolled arm collection grayson micro fabric sofa  black
15,15,15,amazonfurniture_page1_15.png,fdw sofa sectional sofa futon sofa bed corner sofas for living room furniture couch and sofas set leather sleeper modern contemporary upholstered black,FDW Sofa Sectional Sofa Futon Sofa Bed Corner Sofas for Living Room Furniture Couch and Sofas Set Leather Sleeper Modern Contemporary Upholstered Black,sectional sofa futon sofa bed corner sofas for living room furniture couch and sofas set leather sleeper modern contemporary upholstered black
16,16,16,amazonfurniture_page1_16.png,ashley furniture signature design  bladen contemporary plush upholstered sofa  coffee brown,Ashley Furniture Signature Design - Bladen Contemporary Plush Upholstered Sofa - Coffee Brown,ashley furniture signature design  bladen contemporary plush upholstered sofa  coffee brown
17,18,18,amazonfurniture_page1_18.png,zinus ricardo contemporary upholstered  inch sofa living room couch dark grey,"Zinus Ricardo Contemporary Upholstered 78.4 inch Sofa / Living Room Couch, Dark Grey",upholstered inch sofa living room couch dark grey
