,filename,caption,caption_old,caption_new
0,amazonfurniture_page1_0.png,zinus josh traditional upholstered sofa living room couch beige weave,"Zinus Josh Traditional Upholstered 77.5 Inch Sofa/Living Room Couch, Beige Weave",upholstered sofa living room couch beige weave
1,amazonfurniture_page1_1.png,zinus ricardo contemporary upholstered sofa living room couch chestnut brown,"Zinus Ricardo Contemporary Upholstered 78.4 Inch Sofa / Living Room Couch, Chestnut Brown",upholstered sofa living room couch chestnut brown
2,amazonfurniture_page1_2.png,honbay convertible sectional sofa couch l shaped couch with modern linen fabric for small space dark grey,"HONBAY Convertible Sectional Sofa Couch, L-Shaped Couch with Modern Linen Fabric for Small Space Dark Grey",sofa couch l shaped couch with modern linen fabric for small space dark grey
3,amazonfurniture_page1_3.png,flash furniture benchcraft maier sectional with right side facing chaise charcoal microfiber,Flash Furniture Benchcraft Maier Sectional with Right Side Facing Chaise in Charcoal Microfiber,maier sectional with right side facing chaise charcoal microfiber
4,amazonfurniture_page1_4.png,serta rta palisades collection  sofa riverfront brown,"Serta RTA Palisades Collection 78"" Sofa in Riverfront Brown",collection sofa riverfront brown
5,amazonfurniture_page1_5.png,ashley furniture signature design  larkinhurst sofa  contemporary style couch  earth,Ashley Furniture Signature Design - Larkinhurst Sofa - Contemporary Style Couch - Earth,design larkinhurst sofa contemporary style couch earth
6,amazonfurniture_page1_6.png,homelegance resonance  bonded leather double reclining sofa brown,"Homelegance Resonance 83"" Bonded Leather Double Reclining Sofa, Brown",leather double reclining sofa brown
7,amazonfurniture_page1_7.png,best choice products modern faux leather futon sofa bed fold up and down recliner couch with cup holders  black,Best Choice Products Modern Faux Leather Futon Sofa Bed Fold Up & Down Recliner Couch with Cup Holders - Black,faux leather futon sofa bed fold up and down recliner couch with cup holders black
8,amazonfurniture_page1_8.png,stone and beam carrigan modern sofa couch with slipcover  natural,"Stone & Beam Carrigan Modern Sofa Couch with Slipcover, 88.5""W, Natural",modern sofa couch with slipcover natural
9,amazonfurniture_page1_9.png,rivet revolve modern upholstered sofa with tapered legs  denim,"Rivet Revolve Modern Upholstered Sofa with Tapered Legs, 79.9""W, Denim",upholstered sofa with tapered legs denim
10,amazonfurniture_page1_10.png,rivet aiden tufted mid century modern velvet bench loveseat sofa  otter grey,"Rivet Aiden Tufted Mid-Century Modern Velvet Bench Loveseat Sofa, 74""W, Otter Grey",tufted mid century modern velvet bench loveseat sofa otter grey
11,amazonfurniture_page1_11.png,stone and beam bradbury chesterfield tufted loveseat sofa couch  navy,"Stone & Beam Bradbury Chesterfield Tufted Loveseat Sofa Couch, 78.7""W, Navy",chesterfield tufted loveseat sofa couch navy
12,amazonfurniture_page1_12.png,ravenna home darian oversized pillow sofa  charcoal,"Ravenna Home Darian Oversized Pillow Sofa, 92""W, Charcoal",darian oversized pillow sofa charcoal
13,amazonfurniture_page1_13.png,serta rane collection convertible sofa x  navy blue,"Serta Rane Collection Convertible Sofa, L66.1 x W33.1 x H29.5, Navy Blue",sofa x navy blue
14,amazonfurniture_page1_14.png,lifestyle solutions kd rolled arm collection grayson micro fabric sofa  black,"Lifestyle Solutions KD Rolled-Arm Collection Grayson Micro-Fabric Sofa, 80.3""x32""x32.68"", Black",rolled arm collection grayson micro fabric sofa black
15,amazonfurniture_page1_15.png,fdw sofa sectional sofa futon sofa bed corner sofas for living room furniture couch and sofas set leather sleeper modern contemporary upholstered black,FDW Sofa Sectional Sofa Futon Sofa Bed Corner Sofas for Living Room Furniture Couch and Sofas Set Leather Sleeper Modern Contemporary Upholstered Black,sectional sofa futon sofa bed corner sofas for living room furniture couch and sofas set leather sleeper modern contemporary upholstered black
16,amazonfurniture_page1_16.png,ashley furniture signature design  bladen contemporary plush upholstered sofa  coffee brown,Ashley Furniture Signature Design - Bladen Contemporary Plush Upholstered Sofa - Coffee Brown,design bladen contemporary plush upholstered sofa coffee brown
17,amazonfurniture_page1_17.png,zinus josh traditional upholstered sofa living room couch beige weave,"Zinus Josh Traditional Upholstered 77.5 Inch Sofa/Living Room Couch, Beige Weave",upholstered sofa living room couch beige weave
18,amazonfurniture_page1_18.png,zinus ricardo contemporary upholstered  inch sofa living room couch dark grey,"Zinus Ricardo Contemporary Upholstered 78.4 inch Sofa / Living Room Couch, Dark Grey",upholstered inch sofa living room couch dark grey
19,amazonfurniture_page1_19.png,lifestyle solutions harrington sofa grey dark grey,"LifeStyle Solutions Harrington Sofa in Grey, Dark Grey",sofa grey dark grey
20,amazonfurniture_page1_20.png,best choice products living room convertible linen fabric tufted splitback sleeper plush futon couch furniture with pillows  brown,Best Choice Products Living Room Convertible Linen Fabric Tufted Splitback Sleeper Plush Futon Couch Furniture w/ Pillows - Brown,room convertible linen fabric tufted splitback sleeper plush futon couch furniture with pillows brown
21,amazonfurniture_page1_21.png,joanna mid century modern fabric and wood chaise sectional charcoal tweed and black,"Joanna Mid Century Modern Fabric and Wood Chaise Sectional, Charcoal Tweed and Black",century modern fabric and wood chaise sectional charcoal tweed and black
22,amazonfurniture_page1_22.png,rebecca five seater fabric tufted chesterfield sectional dark gray and dark brown,"Rebecca 5 Seater Fabric Tufted Chesterfield Sectional, Dark Gray and Dark Brown",seater fabric tufted chesterfield sectional dark gray and dark brown
23,amazonfurniture_page1_23.png,erin contemporary tufted fabric three seater sofa light blue and natural,"Erin Contemporary Tufted Fabric 3 Seater Sofa, Light Blue and Natural",erin contemporary tufted fabric three seater sofa light blue and natural
24,amazonfurniture_page1_24.png,honbay convertible sectional sofa couch leather l shape couch with modern faux leather sectional for small space apartment black,HONBAY Convertible Sectional Sofa Couch Leather L-Shape Couch with Modern Faux Leather Sectional for Small Space Apartment Black,sofa couch leather l shape couch with modern faux leather sectional for small space apartment black
25,amazonfurniture_page1_25.png,dhp emily sectional futon sofa with convertible chaise lounger grey linen,"DHP Emily Sectional Futon Sofa with Convertible Chaise Lounger, Grey Linen",futon sofa with convertible chaise lounger grey linen
26,amazonfurniture_page1_26.png,classic brands  cool gel memory foam replacement mattress for sleeper sofa bed queen,"Classic Brands 4.5-Inch Cool Gel Memory Foam Replacement Mattress for Sleeper Sofa Bed, Queen",gel memory foam replacement mattress for sleeper sofa bed queen
27,amazonfurniture_page1_27.png,ashley furniture signature design  zeb sleeper sofa  contemporary style couch  queen size  charcoal,Ashley Furniture Signature Design - Zeb Sleeper Sofa - Contemporary Style Couch - Queen Size - Charcoal,design zeb sleeper sofa contemporary style couch queen size charcoal
28,amazonfurniture_page1_28.png,ashley furniture signature design  darcy sofa  three seats  ultra soft upholstery  contemporary  sky,Ashley Furniture Signature Design - Darcy Sofa - 3 Seats - Ultra Soft Upholstery - Contemporary - Sky,design darcy sofa three seats ultra soft upholstery contemporary sky
29,amazonfurniture_page1_29.png,vita chesterfield tufted jewel toned velvet sofa with scroll arms navy blue,"Vita Chesterfield Tufted Jewel Toned Velvet Sofa with Scroll Arms, Navy Blue",tufted jewel toned velvet sofa with scroll arms navy blue
30,amazonfurniture_page1_30.png,best choice products  l shape tufted faux leather sectional sofa couch set withchaise lounge ottoman bench  black,"Best Choice Products 3-Seat L-Shape Tufted Faux Leather Sectional Sofa Couch Set w/Chaise Lounge, Ottoman Bench - Black",shape tufted faux leather sectional sofa couch set withchaise lounge ottoman bench black
31,amazonfurniture_page1_31.png,ashley furniture signature design  alenya sofa with two throw pillows  microfiber upholstery  vintage casual  charcoal,Ashley Furniture Signature Design - Alenya Sofa with 2 Throw Pillows - Microfiber Upholstery - Vintage Casual - Charcoal,design alenya sofa with two throw pillows microfiber upholstery vintage casual charcoal
32,amazonfurniture_page1_32.png,modern bonded leather sectional sofa  small space configurable couch  black,Modern Bonded Leather Sectional Sofa - Small Space Configurable Couch - Black,sectional sofa small space configurable couch black
33,amazonfurniture_page1_33.png,zinus jackie classic upholstered sofa living room couch soft grey,"Zinus Jackie Classic Upholstered 71 Inch Sofa / Living Room Couch, Soft Grey",upholstered sofa living room couch soft grey
34,amazonfurniture_page1_34.png,poundex  upholstered sofas sectionals armchairs grey,"Poundex PDEX-F7606 Upholstered Sofas/Sectionals/Armchairs, Grey",sectionals armchairs grey
35,amazonfurniture_page1_35.png,ashley furniture signature design  larkinhurst sofa  contemporary style couch  earth,Ashley Furniture Signature Design - Larkinhurst Sofa - Contemporary Style Couch - Earth,design larkinhurst sofa contemporary style couch earth
36,amazonfurniture_page1_36.png,serta rta palisades collection  sofa riverfront brown,"Serta RTA Palisades Collection 78"" Sofa in Riverfront Brown",collection sofa riverfront brown
37,amazonfurniture_page1_37.png,lifestyle solutions harrington sofa brown,LifeStyle Solutions Harrington Sofa in Brown,sofa brown
38,amazonfurniture_page1_38.png,zinus jackie classic upholstered sofa living room couch soft grey,"Zinus Jackie Classic Upholstered 71 Inch Sofa / Living Room Couch, Soft Grey",upholstered sofa living room couch soft grey
39,amazonfurniture_page1_39.png,susan contemporary fabric three seater sofa beige and dark brown,"Susan Contemporary Fabric 3 Seater Sofa, Beige and Dark Brown",fabric three seater sofa beige and dark brown
40,amazonfurniture_page1_40.png,great deal furniture emily contemporary fabric ottoman bench light blue and black,"Great Deal Furniture Emily Contemporary Fabric Ottoman Bench, Light Blue and Black",contemporary fabric ottoman bench light blue and black
41,amazonfurniture_page1_41.png,leila petite tufted fabric chair and ottoman set light blue and dark brown,"Leila Petite Tufted Fabric Chair and Ottoman Set, Light Blue and Dark Brown",leila petite tufted fabric chair and ottoman set light blue and dark brown
42,amazonfurniture_page2_0.png,rivet sloane mid century modern sofa with tufted back  pebble,"Rivet Sloane Mid-Century Modern Sofa with Tufted Back, 79.9""W, Pebble",century modern sofa with tufted back pebble
43,amazonfurniture_page2_1.png,rivet cove mid century modern tufted sofa with tapered legs  dark grey,"Rivet Cove Mid-Century Modern Tufted Sofa with Tapered Legs, 72""W, Dark Grey",century modern tufted sofa with tapered legs dark grey
